Title,Authors,Published,URL,Summary
Evaluating performance of hybrid quantum optimization algorithms for MAXCUT Clustering using IBM runtime environment,"Daniel Beaulieu, Anh Pham",2021-12-06,http://arxiv.org/abs/2112.03199v4,"Quantum algorithms can be used to perform unsupervised machine learning tasks like data clustering by mapping the distance between data points to a graph optimization problem (i.e. MAXCUT) and finding optimal solution through energy minimization using hybrid quantum classical methods. Taking advantage of the IBM runtime environment, we benchmark the performance of the ""Warm-Start"" (ws) variant of Quantum Approximate Optimization Algorithm (QAOA) versus the standard implementation of QAOA and the..."
Efficient Large-Scale Quantum Optimization via Counterdiabatic Ansatz,"Jie Liu, Xin Wang",2024-09-23,http://arxiv.org/abs/2409.15055v1,"Quantum Approximate Optimization Algorithm (QAOA) is one of the fundamental variational quantum algorithms, while a version of QAOA that includes counterdiabatic driving, termed Digitized Counterdiabatic QAOA (DC-QAOA), is generally considered to outperform QAOA for all system sizes when the circuit depth for the two algorithms are held equal. Nevertheless, DC-QAOA introduces more CNOT gates per layer, so the overall circuit complexity is a tradeoff between the number of CNOT gates per layer and..."
A Comparative Study of Quantum Optimization Techniques for Solving Combinatorial Optimization Benchmark Problems,"Monit Sharma, Hoong Chuin Lau",2025-03-15,http://arxiv.org/abs/2503.12121v2,"Quantum optimization holds promise for addressing classically intractable combinatorial problems, yet a standardized framework for benchmarking its performance, particularly in terms of solution quality, computational speed, and scalability is still lacking. In this work, we introduce a comprehensive benchmarking framework designed to systematically evaluate a range of quantum optimization techniques against well-established NP-hard combinatorial problems. Our framework focuses on key problem cl..."
Max-cut Clustering Utilizing Warm-Start QAOA and IBM Runtime,"Daniel Beaulieu, Anh Pham",2021-08-30,http://arxiv.org/abs/2108.13464v1,"Quantum optimization algorithms can be used to recreate unsupervised learning clustering of data by mapping the problem to a graph optimization problem and finding the minimum energy for a MaxCut problem formulation. This research tests the ""Warm Start"" variant of Quantum Approximate Optimization Algorithm (QAOA) versus the standard implementation of QAOA for unstructured clustering problems. The performance for IBM's new Qiskit Runtime API for speeding up optimization algorithms is also tested ..."
Threshold-Based Quantum Optimization,"John Golden, Andreas Bärtschi, Daniel O'Malley, Stephan Eidenbenz",2021-06-25,http://arxiv.org/abs/2106.13860v2,"We propose and study Th-QAOA (pronounced Threshold QAOA), a variation of the Quantum Alternating Operator Ansatz (QAOA) that replaces the standard phase separator operator, which encodes the objective function, with a threshold function that returns a value $1$ for solutions with an objective value above the threshold and a $0$ otherwise. We vary the threshold value to arrive at a quantum optimization algorithm. We focus on a combination with the Grover Mixer operator; the resulting GM-Th-QAOA c..."
DyPP: Dynamic Parameter Prediction to Accelerate Convergence of Variational Quantum Algorithms,"Satwik Kundu, Debarshi Kundu, Swaroop Ghosh",2023-07-23,http://arxiv.org/abs/2307.12449v3,"The exponential run time of quantum simulators on classical machines and long queue times and high costs of real quantum devices present significant challenges in the efficient optimization of Variational Quantum Algorithms (VQAs) like Variational Quantum Eigensolver (VQE), Quantum Approximate Optimization Algorithm (QAOA) and Quantum Neural Networks (QNNs). To address these limitations, we propose a new approach, DyPP (Dynamic Parameter Prediction), which accelerates the convergence of VQAs by ..."
Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,"Lilly Palackal, Benedikt Poggel, Matthias Wulff, Hans Ehm, Jeanette Miriam Lorenz, Christian B. Mendl",2023-04-19,http://arxiv.org/abs/2304.09629v2,"Many relevant problems in industrial settings result in NP-hard optimization problems, such as the Capacitated Vehicle Routing Problem (CVRP) or its reduced variant, the Travelling Salesperson Problem (TSP). Even with today's most powerful classical algorithms, the CVRP is challenging to solve classically. Quantum computing may offer a way to improve the time to solution, although the question remains open as to whether Noisy Intermediate-Scale Quantum (NISQ) devices can achieve a practical adva..."
Error Mitigation for Deep Quantum Optimization Circuits by Leveraging Problem Symmetries,"Ruslan Shaydulin, Alexey Galda",2021-06-08,http://arxiv.org/abs/2106.04410v2,"High error rates and limited fidelity of quantum gates in near-term quantum devices are the central obstacles to successful execution of the Quantum Approximate Optimization Algorithm (QAOA). In this paper we introduce an application-specific approach for mitigating the errors in QAOA evolution by leveraging the symmetries present in the classical objective function to be optimized. Specifically, the QAOA state is projected into the symmetry-restricted subspace, with projection being performed e..."
Introduction to Variational Quantum Algorithms,Michał Stęchły,2024-02-24,http://arxiv.org/abs/2402.15879v1,"This document is a pdf version of the series of blogposts about variational quantum algorithms (VQA) I originally posted on my blog Musty Thoughts. It provides an explanation of the basic variational algorithms, such as Variational Quantum Eigensolver (VQE) and Quantum Approximate Optimization Algorithm (QAOA), as well as a more general framework for VQAs. It also describes some more advanced techniques that can be used to make these algorithms more efficient, as well as the challenges associate..."
Direct phase encoding in QAOA: Describing combinatorial optimization problems through binary decision variables,"Simon Garhofer, Oliver Bringmann",2024-12-10,http://arxiv.org/abs/2412.07450v1,"The Quantum Approximate Optimization Algorithm (QAOA) and its derived variants are widely in use for approximating combinatorial optimization problem instances on gate-based Noisy Intermediate Scale Quantum (NISQ) computers. Commonly, circuits required for QAOA are constructed by first reformulating a given problem as a Quadratic Unconstrained Binary Optimization (QUBO) problem. It is then straightforward to synthesize a QAOA circuit from QUBO equations.   In this work, we illustrate a more qubi..."
