Title,Authors,Published,Year,URL,Summary
Multi-Target Rydberg Gates via Spatial Blockade Engineering,"Samuel Stein, Chenxu Liu, Shuwen Kan, Eleanor Crane, Yufei Ding, Ying Mao, Alexander Shuckert, Ang Li",2025-04-21,2025,http://arxiv.org/abs/2504.15282v1,"Multi-target gates offer the potential to reduce gate depth in syndrome extraction for quantum error correction. Although neutral-atom quantum computers have demonstrated native multi-qubit gates, existing approaches that avoid additional control or multiple atomic species have been limited to single-target gates. We propose single-control-multi-target CZ^{\otimes N}) gates on a single-species neutral-atom platform that require no extra control and have gate durations comparable to standard CZ gates. Our approach leverages tailored interatomic distances to create an asymmetric blockade between the control and target atoms. Using a GPU-accelerated pulse synthesis protocol, we design smooth control pulses for CZZ and CZZZ gates, achieving fidelities of up to 99.55% and 99.24%, respectively, even in the presence of simulated atom placement errors and Rydberg-state decay. This work presents a practical path to implementing multi-target gates in neutral-atom systems, significantly reducing the resource overhead for syndrome extraction."
Improved Algorithms for Quantum MaxCut via Partially Entangled Matchings,"Anuj Apte, Eunou Lee, Kunal Marwaha, Ojas Parekh, James Sud",2025-04-21,2025,http://arxiv.org/abs/2504.15276v1,"We introduce a $0.611$-approximation algorithm for Quantum MaxCut and a $\frac{1+\sqrt{5}}{4} \approx 0.809$-approximation algorithm for the EPR Hamiltonian of [arXiv:2209.02589]. A novel ingredient in both of these algorithms is to partially entangle pairs of qubits associated to edges in a matching, while preserving the direction of their single-qubit Bloch vectors. This allows us to interpolate between product states and matching-based states with a tunable parameter."
Realization of maximally-entangling two-qutrit gates using the Cross-Resonance scheme,"Yash Saxena, Sagnik Chatterjee, Tharrmashastha Sapv",2025-04-21,2025,http://arxiv.org/abs/2504.15265v1,"Three-level systems have natural advantages over their two-level counterparts in quantum information and computation. Although generally used for qubits, the existing superconducting transmon architecture can naturally be extended to three levels, which allows the exploration of the entire qutrit Hilbert space. Realizing a maximally entangling two-qutrit gate is necessary for universal quantum computation using three-level systems. Our work extends the state-of-the-art approach by providing a theoretical framework for realizing a high-fidelity two-qutrit generalized CR gate using the cross-resonance framework. Using our framework, we experimentally demonstrate two-qutrit generalized controlled-$\sqrt{X}$ gates through simulations on QISKIT dynamics, which in turn allow us to obtain a maximum extracted concurrence of $97.2\pm0.1\%$, thereby demonstrating that entanglement has been achieved on all three levels. Using the above gates, we also prepare a two-qutrit Bell state with a fidelity of $96.9\pm 0.1\%$."
Sunflowers and Ramsey problems for restricted intersections,"Barnabás Janzer, Zhihan Jin, Benny Sudakov, Kewen Wu",2025-04-21,2025,http://arxiv.org/abs/2504.15264v1,"Extremal problems on set systems with restricted intersections have been an important part of combinatorics in the last 70 year. In this paper, we study the following Ramsey version of these problems. Given a set $L\subseteq \{0,\dots,k-1\}$ and a family $\mathcal{F}$ of $k$-element sets which does not contain a sunflower with $m$ petals whose kernel size is in $L$, how large a subfamily of $\mathcal{F}$ can we find in which no pair has intersection size in $L$? We give matching upper and lower bounds, determining the dependence on $m$ for all $k$ and $L$. This problem also finds applications in quantum computing.   As an application of our techniques, we also obtain a variant of F\""uredi's celebrated semilattice lemma, which is a key tool in the powerful delta-system method. We prove that one cannot remove the double-exponential dependency on the uniformity in F\""uredi's result, however, we provide an alternative with significantly better, single-exponential dependency on the parameters, which is still strong enough for most applications of the delta-system method."
Broadband Fourier transform spectroscopy of quantum emitters photoluminescence with sub-nanosecond temporal resolution,"Issam Belgacem, Pasquale Cilibrizzi, Muhammad Junaid Arshad, Daniel White, Malte Kroj, Christiaan Bekker, Margherita Mazzera, Brian D. Gerardot, Angelo C. Frangeskou, Gavin W. Morley, Nguyen Tien Son, Jawad Ul-Hassan, Takeshi Ohshima, Hiroshi Abe, Lorenzo Vinco, Dario Polli, Giulio Cerullo, Cristian Bonato",2025-04-21,2025,http://arxiv.org/abs/2504.15258v1,"The spectral characterization of quantum emitter luminescence over broad wavelength ranges and fast timescales is important for applications ranging from biophysics to quantum technologies. Here we present the application of time-domain Fourier transform spectroscopy, based on a compact and stable birefringent interferometer coupled to low-dark-count superconducting single-photon detectors, to the study of quantum emitters. We experimentally demonstrate that the system enables spectroscopy of quantum emitters over a broad wavelength interval from the near-infrared to the telecom range, where grating-based spectrometers coupled to InGaAs cameras are typically noisy and inefficient. We further show that the high temporal resolution of single-photon detectors, which can be on the order of tens of picoseconds, enables the monitoring of spin-dependent spectral changes on sub-nanosecond timescales."
Quantum-enhanced second harmonic generation beyond the photon pairs regime,"Thomas Dickinson, Ivi Afxenti, Giedre Astrauskaite, Lennart Hirsch, Samuel Nerenberg, Ottavia Jedrkiewicz, Daniele Faccio, Caroline Müllenbroich, Alessandra Gatti, Matteo Clerici, Lucia Caspani",2025-04-21,2025,http://arxiv.org/abs/2504.15249v1,"Two-photon processes are crucial in applications like microscopy and microfabrication, but their low cross-section requires intense illumination and limits, e.g., the penetration depth in nonlinear microscopy. Entangled states have been proposed to enhance the efficiency of two-photon interactions and have shown effectiveness at low intensities. This quantum enhancement is generally believed to be lost at high intensities, for more than one photon per mode, raising doubts about its usefulness. We explored experimentally and theoretically two-photon processes driven by entangled photons at intensities beyond this threshold and compared the results with the classical case. We found that a quantum advantage can still be observed at nearly one order of magnitude higher intensities than previously assumed. Our findings show a potential path for exploiting quantum-enhanced two-photon processes in practical applications."
Rydberg Atoms in a Ladder Geometry: Quench Dynamics and Floquet Engineering,"Mainak Pal, Tista Banerjee",2025-04-21,2025,http://arxiv.org/abs/2504.15230v1,"In recent days, Rydberg atom quantum simulator platforms have emerged as novel quantum simulators for physical systems ranging from condensed matter to particle physics. On a fundamental level, these platforms allow for a direct test of our understanding of the emergence of quantum statistical mechanics starting from the laws of quantum dynamics. In this paper, we investigate the fate of quantum dynamics in a model of Rydberg atoms arranged in a square ladder geometry, with a Rabi frequency $2\Omega$ and a detuning profile which is staggered along the longer direction with amplitude $\Delta$. As the staggering strength $\Delta$ is tuned from $\Delta/\Omega=0\rightarrow\infty$, the model exhibits a wide class of dynamical phenomena, ranging from (i) quantum many-body scars (QMBS) ($\Delta/\Omega \sim 0,1$), (ii) integrability induced slow dynamics and approximate Krylov fractures ($\Delta/\Omega \gg 1$) . Additionally, by leveraging the underlying chiral nature of the spectrum of this model Hamiltonian, it is possible to design Floquet protocols leading to dynamical signatures reminiscent of discrete time-crystalline order and exact Floquet flat bands. Finally, we study the robustness of these dynamical features against imperfections in the implementation of the Floquet protocols, long-range van der Waals interactions and inevitable influences from the environment in the form of pure dephasing and the finite lifetime of the Rydberg excited state."
Fine features of entanglement dynamics in quenches across the Ising quantum critical point,Aditya Banerjee,2025-04-21,2025,http://arxiv.org/abs/2504.15203v1,"The task of exploring and understanding important aspects of far-from-equilibrium dynamics of closed and generic quantum many-body systems has received a thrust of attention in recent years, driven partly by remarkable advances in ultracold experimental technologies. In this work, for the paradigmatic Ising spin chain with transverse and longitudinal fields, we present numerical observations of several ""fine-grained"" features of far-from-equilibrium dynamics, induced by quantum quenches across the Ising critical point, from a quantum informational point of view that have hitherto escaped notice. Rather featureless dynamics is seen for ferromagnetic to paramagnetic quenches, but paramagnetic to ferromagnetic quenches exhibit rich behaviour, including a series of sudden deaths and revivals of entanglement between two spins in the system's bulk, periodic but short-lived occurrences of approximately $1-$uniform states, non-analytic cusps in single-copy entanglement entropy for sufficiently big subsystems, insufficient mixedness and a series of scrambling-$\textit{un}$scrambling of local information between neighboring spins. Moreover, essentially indistinguishable dynamics is seen at very early times between the integrable limit (zero longitudinal field) and non-integrable cases, with the former eventually showing signatures of better mixing and faster approach to equilibration than the latter. These features are expected to hold for quench dynamics across Ising quantum critical points in more complicated systems."
Quantum phase discrimination with applications to quantum search on graphs,"Guanzhong Li, Lvzhou Li, Jingquan Luo",2025-04-21,2025,http://arxiv.org/abs/2504.15194v1,"We study the phase discrimination problem, in which we want to decide whether the eigenphase $\theta\in(-\pi,\pi]$ of a given eigenstate $|\psi\rangle$ with eigenvalue $e^{i\theta}$ is zero or not, using applications of the unitary $U$ provided as a black box oracle.We propose a quantum algorithm named {\it quantum phase discrimination(QPD)} for this task, with optimal query complexity $\Theta(\frac{1}{\lambda}\log\frac{1}{\delta})$ to the oracle $U$, where $\lambda$ is the gap between zero and non-zero eigenphases and $\delta$ the allowed one-sided error. The quantum circuit is simple, consisting of only one ancillary qubit and a sequence of controlled-$U$ interleaved with single qubit $Y$ rotations, whose angles are given by a simple analytical formula. Quantum phase discrimination could become a fundamental subroutine in other quantum algorithms, as we present two applications to quantum search on graphs:   i) Spatial search on graphs. Inspired by the structure of QPD, we propose a new quantum walk model, and based on them we tackle the spatial search problem, obtaining a novel quantum search algorithm. For any graph with any number of marked vertices, the quantum algorithm that can find a marked vertex with probability $\Omega(1)$ in total evolution time $ O(\frac{1}{\lambda \sqrt{\varepsilon}})$ and query complexity $ O(\frac{1}{\sqrt{\varepsilon}})$, where $\lambda$ is the gap between the zero and non-zero eigenvalues of the graph Laplacian and $\varepsilon$ is a lower bound on the proportion of marked vertices.   ii) Path-finding on graphs.} By using QPD, we reduce the query complexity of a path-finding algorithm proposed by Li and Zur [arxiv: 2311.07372] from $\tilde{O}(n^{11})$ to $\tilde{O}(n^8)$, in a welded-tree circuit graph with $\Theta(n2^n)$ vertices.   Besides these two applications, we argue that more quantum algorithms might benefit from QPD."
Method for simulating open-system dynamics using mid-circuit measurements on a quantum computer,"John P. T. Stenger, Gloria Bazargan, Nicholas T. Bronn, Daniel Gunlycke",2025-04-21,2025,http://arxiv.org/abs/2504.15187v1,"We present a method for simulating the dynamics of an open electronic system on a quantum computer. This approach entails mid-circuit measurements and resets to simulate the addition or removal of fermions from the system and provides a way to apply non-reversible operations to a quantum computer. Using this method, we simulate the dynamics of an open electronic system consisting of a fermionic chain positioned between two conductive leads on the $ibm\_torino$ quantum computer."
